#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	0.00	0.00	0.00	0.00	0.00
chr1	27480473	27481381	908	908	7.00	40.00	23.88	24.00	21681.00
chr15	63112684	63112809	125	125	1.00	2.00	1.71	2.00	214.00
chr5	149231737	149232254	517	517	0.00	3.00	0.70	0.00	361.00
chr5	140865429	140867182	1753	1753	0.00	1.00	0.06	0.00	101.00
chr1	32209793	32209958	165	165	0.00	0.00	0.00	0.00	0.00
chr16	87873307	87873431	124	124	53.00	87.00	68.81	65.00	8532.00
chr17	34157438	34158175	737	737	5.00	16.00	9.54	10.00	7031.00
chr2	127815619	127816088	469	469	0.00	10.00	4.00	4.00	1874.00
chr1	208212965	208213112	147	147	0.00	3.00	1.26	1.00	185.00
chr22	19703883	19704666	783	783	0.00	10.00	3.66	3.00	2863.00
chr16	87872319	87872423	104	104	58.00	94.00	71.39	69.00	7425.00
chr9	140055740	140055868	128	128	0.00	0.00	0.00	0.00	0.00
chr22	21096515	21096643	128	128	39.00	62.00	48.84	50.00	6252.00
chr9	140056321	140056540	219	219	0.00	3.00	1.01	0.00	222.00
chr11	78379981	78380253	272	272	0.00	0.00	0.00	0.00	0.00
chr3	11070420	11070533	113	113	0.00	0.00	0.00	0.00	0.00
chr1	109812554	109813222	668	668	0.00	5.00	1.06	0.00	708.00
chr2	220161954	220162155	201	201	0.00	0.00	0.00	0.00	0.00
chr15	74706887	74707086	199	199	6.00	20.00	10.92	10.00	2173.00
chr17	7318829	7319426	597	597	1.00	9.00	5.52	6.00	3293.00
chr1	21560050	21560154	104	104	81.00	107.00	97.14	99.00	10103.00
chr1	25573799	25573952	153	153	0.00	61.00	37.80	45.00	5784.00
chr14	93198993	93199160	167	167	3.00	9.00	6.51	7.00	1088.00
chr1	205554003	205554119	116	116	0.00	0.00	0.00	0.00	0.00
chr1	9795005	9795232	227	227	59.00	85.00	73.56	74.00	16697.00
chr17	42426525	42426670	145	145	121.00	323.00	238.29	249.00	34552.00
chr18	70205887	70206179	292	292	0.00	0.00	0.00	0.00	0.00
chr1	205553082	205553251	169	169	0.00	0.00	0.00	0.00	0.00
chr9	140056623	140056766	143	143	0.00	3.00	0.57	0.00	81.00
chr6	33412147	33412394	247	247	2.00	41.00	24.08	32.00	5947.00
chr12	89992366	89992547	181	181	0.00	0.00	0.00	0.00	0.00
chr2	220088827	220089576	749	749	55.00	113.00	79.39	79.00	59464.00
chr14	100763073	100765222	2149	2149	4.00	39.00	16.69	16.00	35875.00
chr1	110740697	110742543	1846	1846	0.00	0.00	0.00	0.00	0.00
chr1	149878201	149879758	1557	1557	0.00	13.00	1.49	0.00	2315.00
chr3	197264139	197265259	1120	1120	0.00	4.00	1.48	1.00	1652.00
chr8	56449623	56450530	907	907	0.00	0.00	0.00	0.00	0.00
chr9	139354208	139354326	118	118	25.00	48.00	32.42	29.00	3825.00
chr1	32204908	32205236	328	328	1.00	5.00	3.22	3.00	1057.00
chr7	75608768	75608897	129	129	116.00	147.00	131.73	131.00	16993.00
chr19	45161029	45161178	149	149	0.00	1.00	0.68	1.00	101.00
chr19	5243911	5244493	582	582	0.00	4.00	0.83	0.00	483.00
chr6	32119585	32119717	132	132	0.00	5.00	2.41	3.00	318.00
chr3	42670878	42672067	1189	1189	0.00	8.00	3.13	3.00	3723.00
chr11	45892392	45892485	93	93	15.00	22.00	18.17	18.00	1690.00
chr17	80040789	80040991	202	202	39.00	73.00	53.01	50.50	10709.00
chr2	74902875	74903036	161	161	0.00	3.00	0.80	1.00	128.00
chr17	38335969	38337946	1977	1977	0.00	6.00	1.65	1.00	3254.00
chr16	87870103	87870253	150	150	43.00	81.00	60.07	56.00	9011.00
chr1	32205947	32206142	195	195	1.00	7.00	4.66	5.00	909.00
chr6	44117553	44117702	149	149	0.00	41.00	24.09	30.00	3590.00
chr1	159163659	159163830	171	171	0.00	0.00	0.00	0.00	0.00
chr3	445565	446023	458	458	0.00	0.00	0.00	0.00	0.00
chr2	25048913	25048995	82	82	6.00	8.00	7.17	7.00	588.00
chr10	99504485	99504672	187	187	2.00	13.00	7.61	7.00	1424.00
chr4	54364807	54365010	203	203	0.00	0.00	0.00	0.00	0.00
chr17	1634367	1634552	185	185	24.00	52.00	38.80	40.00	7178.00
chr7	72416124	72416247	123	123	15.00	40.00	24.07	22.00	2960.00
chr1	208212169	208212329	160	160	1.00	6.00	3.86	4.00	617.00
chr9	140952500	140952702	202	202	0.00	0.00	0.00	0.00	0.00
chr6	44197325	44197528	203	203	25.00	38.00	30.71	31.00	6234.00
chr6	44197643	44198218	575	575	4.00	32.00	19.29	17.00	11092.00
chr11	118981972	118982084	112	112	31.00	46.00	38.10	38.00	4267.00
chr5	150503846	150503952	106	106	1.00	802.00	552.08	700.00	58521.00
chr11	118981761	118981878	117	117	26.00	38.00	31.82	32.00	3723.00
chr11	126314873	126315000	127	127	0.00	1.00	0.31	0.00	39.00
chr1	159165808	159166244	436	436	0.00	0.00	0.00	0.00	0.00
chr7	134893542	134893750	208	208	13.00	31.00	23.55	23.00	4899.00
chr9	121976196	121976433	237	237	0.00	0.00	0.00	0.00	0.00
chr19	54691042	54691169	127	127	289.00	488.00	383.55	385.00	48711.00
chr22	38621430	38621600	170	170	50.00	77.00	62.56	62.00	10636.00
chr13	42035681	42036205	524	524	0.00	5.00	2.39	2.00	1251.00
chr20	1915360	1915413	53	53	1.00	114.00	82.11	103.00	4352.00
chr5	14496987	14497126	139	139	2.00	5.00	3.56	3.00	495.00
chr12	56528125	56528212	87	87	121.00	144.00	129.37	128.00	11255.00
chr3	47466974	47467101	127	127	32.00	41.00	36.61	37.00	4650.00
chr17	7415476	7415663	187	187	123.00	159.00	138.94	139.00	25981.00
chr3	33588037	33589252	1215	1215	0.00	3.00	0.99	1.00	1198.00
chr7	887833	888615	782	782	0.00	15.00	3.41	2.00	2667.00
chr10	24813251	24813693	442	442	0.00	0.00	0.00	0.00	0.00
chr1	109812045	109812213	168	168	0.00	4.00	1.86	1.50	313.00
chr19	15276597	15276902	305	305	0.00	1.00	0.33	0.00	101.00
chr16	2334779	2334999	220	220	1.00	5.00	2.33	1.00	513.00
chr16	68404761	68405261	500	500	1.00	8.00	3.84	4.00	1918.00
chr4	110969111	110969871	760	760	0.00	3.00	0.80	1.00	606.00
chr1	145693161	145693996	835	835	0.00	4.00	1.03	1.00	857.00
chr7	44282848	44282932	84	84	0.00	2.00	1.40	1.00	118.00
chr2	220164315	220164508	193	193	0.00	0.00	0.00	0.00	0.00
chr12	50472203	50472360	157	157	0.00	1.00	0.64	1.00	101.00
chr2	220163768	220163833	65	65	0.00	0.00	0.00	0.00	0.00
chr2	222289928	222290862	934	934	0.00	6.00	2.50	3.00	2339.00
chr12	57599133	57599268	135	135	21.00	41.00	28.59	27.00	3859.00
chr7	157475416	157475629	213	213	0.00	0.00	0.00	0.00	0.00
chr1	32203800	32203927	127	127	0.00	2.00	1.50	2.00	190.00
chr1	109811731	109811912	181	181	0.00	4.00	1.76	2.00	319.00
chr9	140052830	140052975	145	145	0.00	1.00	0.70	1.00	101.00
chr2	220161706	220161854	148	148	0.00	0.00	0.00	0.00	0.00
chr16	29896906	29897070	164	164	0.00	0.00	0.00	0.00	0.00
chr16	47143393	47143622	229	229	0.00	3.00	1.36	1.00	311.00
chr11	993753	993985	232	232	22.00	45.00	35.40	36.00	8212.00
chr9	124059698	124061137	1439	1439	0.00	4.00	0.70	0.00	1010.00
chr9	140350140	140350634	494	494	5.00	34.00	17.47	15.00	8630.00
chr11	14504577	14504697	120	120	20.00	27.00	23.60	24.00	2832.00
chr3	49898612	49898733	121	121	0.00	0.00	0.00	0.00	0.00
chr9	131811659	131811777	118	118	13.00	25.00	17.76	17.00	2096.00
chr9	131810705	131810818	113	113	25.00	32.00	28.23	28.00	3190.00
chr1	223400935	223401080	145	145	0.00	3.00	0.97	1.00	140.00
chr12	125612185	125612820	635	635	0.00	7.00	1.21	0.00	771.00
chr2	220088590	220088744	154	154	69.00	112.00	95.96	101.00	14778.00
chr9	70888487	70888750	263	263	0.00	23.00	10.75	8.00	2826.00
chr14	69813756	69813898	142	142	0.00	0.00	0.00	0.00	0.00
chr2	47399145	47399890	745	745	0.00	4.00	1.30	1.00	969.00
chr11	62688689	62689041	352	352	0.00	0.00	0.00	0.00	0.00
chr6	43745205	43745407	202	202	11.00	349.00	290.67	289.50	58715.00
chr3	11072492	11072997	505	505	0.00	0.00	0.00	0.00	0.00
chr7	2696031	2696168	137	137	11.00	23.00	18.55	20.00	2541.00
chr16	14969196	14969279	83	83	61.00	96.00	76.90	80.00	6383.00
chr17	7377847	7378026	179	179	2.00	5.00	3.84	4.00	688.00
chr12	65639640	65639719	79	79	2.00	6.00	3.76	4.00	297.00
chr12	50294912	50295108	196	196	0.00	0.00	0.00	0.00	0.00
chr19	42485653	42485788	135	135	2.00	10.00	6.77	7.00	914.00
chr10	99509230	99509343	113	113	20.00	26.00	23.47	24.00	2652.00
chr22	38883877	38888120	4243	4243	6.00	270.00	55.73	40.00	236463.00
chr12	49416372	49416658	286	286	36.00	69.00	52.79	53.00	15099.00
chr6	24843089	24843782	693	693	326.00	744.00	490.38	457.00	339832.00
chr5	176295561	176295665	104	104	0.00	0.00	0.00	0.00	0.00
chr10	99510087	99510227	140	140	21.00	32.00	26.41	26.00	3697.00
chr1	159173658	159174770	1112	1112	0.00	29.00	1.10	0.00	1225.00
chr11	1780745	1780869	124	124	1374.00	2016.00	1769.79	1859.00	219454.00
chr19	42486059	42486258	199	199	4.00	9.00	6.32	6.00	1258.00
chr3	47465422	47465535	113	113	30.00	37.00	32.72	33.00	3697.00
chr1	21573713	21573856	143	143	58.00	93.00	76.34	76.00	10916.00
chr11	65320330	65320453	123	123	46.00	86.00	73.41	78.00	9029.00
chr3	47462420	47462519	99	99	46.00	68.00	61.20	61.00	6059.00
chr2	219204751	219204864	113	113	11.00	18.00	15.47	16.00	1748.00
chr1	43906123	43906257	134	134	14.00	20.00	16.51	16.00	2212.00
chr7	38785158	38785840	682	682	1.00	23.00	6.09	5.00	4150.00
chr2	153499932	153500058	126	126	0.00	0.00	0.00	0.00	0.00
chr1	32203011	32203132	121	121	1.00	6.00	4.04	4.00	489.00
chr22	42290823	42290941	118	118	24.00	45.00	34.22	34.00	4038.00
chr19	47940718	47940818	100	100	0.00	0.00	0.00	0.00	0.00
chr4	119539150	119539274	124	124	283.00	492.00	425.37	442.00	52746.00
chr17	44117067	44117250	183	183	33.00	50.00	41.94	42.00	7675.00
chr19	42485873	42485983	110	110	2.00	7.00	4.34	4.00	477.00
chr6	44114583	44114664	81	81	45.00	68.00	53.95	53.00	4370.00
chr19	47941105	47941292	187	187	0.00	0.00	0.00	0.00	0.00
chr11	73074250	73074500	250	250	1.00	5.00	3.29	3.00	822.00
chr3	33418764	33418825	61	61	0.00	2.00	0.90	1.00	55.00
chr1	700258	700505	247	247	83.00	400.00	275.71	298.00	68101.00
chr9	74319510	74319719	209	209	61.00	108.00	79.47	81.00	16610.00
chr16	2336694	2336968	274	274	1.00	6.00	3.74	4.00	1025.00
chr20	3575125	3575219	94	94	11.00	18.00	15.04	15.00	1414.00
chr9	139231377	139231529	152	152	0.00	2.00	1.24	1.00	188.00
chr5	140515951	140516498	547	547	0.00	0.00	0.00	0.00	0.00
chr1	21938208	21938309	101	101	6.00	10.00	7.81	8.00	789.00
chr3	155659188	155659936	748	748	0.00	4.00	1.31	1.00	978.00
chr16	27483068	27483241	173	173	25.00	57.00	38.43	36.00	6648.00
chr11	994071	994245	174	174	23.00	30.00	26.33	27.00	4582.00
chr7	71175745	71175913	168	168	0.00	1.00	0.46	0.00	78.00
